GD_NO,GO_TO_LINK,CATEGORY_CD
988065166,http://gd.image-qoo10.jp/ai/397/266/4251266397_00.g_0-w-st_g.jpg,shoe
988065167,http://gd.image-qoo10.jp/ai/403/266/4251266403_00.g_0-w-st_g.jpg,shoe
988065173,http://gd.image-qoo10.jp/ai/437/266/4251266437_00.g_0-w-st_g.jpg,shoe
988065174,http://gd.image-qoo10.jp/ai/443/266/4251266443_00.g_0-w-st_g.jpg,shoe
988065175,http://gd.image-qoo10.jp/ai/447/266/4251266447_00.g_0-w-st_g.jpg,shoe
988065177,http://gd.image-qoo10.jp/ai/455/266/4251266455_00.g_0-w-st_g.jpg,shoe
988065178,http://gd.image-qoo10.jp/ai/462/266/4251266462_00.g_0-w-st_g.jpg,shoe
988065185,http://gd.image-qoo10.jp/ai/499/266/4251266499_00.g_0-w-st_g.jpg,shoe
988065204,http://gd.image-qoo10.jp/ai/584/266/4251266584_00.g_0-w-st_g.jpg,shoe
968390689,http://gd.image-qoo10.jp/ai/948/552/3985552948_00.g_0-w-st_g.jpg,bag
976549805,http://gd.image-qoo10.jp/ai/857/001/4069001857_00.g_0-w-st_g.jpg,bag
976574481,http://gd.image-qoo10.jp/ai/443/267/4069267443_00.g_0-w-st_g.jpg,bag
977644947,http://gd.image-qoo10.jp/ai/283/297/4314297283_00.g_0-w-st_g.jpg,bag
977851425,http://gd.image-qoo10.jp/ai/300/298/4314298300_00.g_0-w-st_g.jpg,bag
979083114,http://gd.image-qoo10.jp/ai/337/433/4096433337_00.g_0-w-st_g.jpg,bag
979518789,http://gd.image-qoo10.jp/ai/245/118/4103118245_00.g_0-w-st_g.jpg,bag
979597485,http://gd.image-qoo10.jp/ai/283/998/4103998283_00.g_0-w-st_g.jpg,bag
979867194,http://gd.image-qoo10.jp/ai/798/555/4106555798_00.g_0-w-st_g.jpg,bag
980753833,http://gd.image-qoo10.jp/ai/406/612/4114612406_00.g_0-w-st_g.jpg,bag
980753873,http://gd.image-qoo10.jp/ai/930/613/4114613930_00.g_0-w-st_g.jpg,bag
980755647,http://gd.image-qoo10.jp/ai/411/626/4114626411_00.g_0-w-st_g.jpg,bag
981328187,http://gd.image-qoo10.jp/ai/777/714/4122714777_00.g_0-w-st_g.jpg,bag
981328213,http://gd.image-qoo10.jp/ai/838/298/4592298838_00.g_0-w-st_g.jpg,bag
989338223,http://gd.image-qoo10.jp/ai/560/359/4268359560_00.g_0-w-st_g.jpg,bag
989338226,http://gd.image-qoo10.jp/ai/581/359/4268359581_00.g_0-w-st_g.jpg,bag
989338229,http://gd.image-qoo10.jp/ai/596/359/4268359596_00.g_0-w-st_g.jpg,bag
989338242,http://gd.image-qoo10.jp/ai/672/359/4268359672_00.g_0-w-st_g.jpg,bag
989338260,http://gd.image-qoo10.jp/ai/768/359/4268359768_00.g_0-w-st_g.jpg,bag
979896826,http://gd.image-qoo10.jp/ai/791/924/4106924791_00.g_0-w-st_g.jpg,jacket
979896841,http://gd.image-qoo10.jp/ai/845/792/4626792845_00.g_0-w-st_g.jpg,jacket
979897153,http://gd.image-qoo10.jp/ai/888/283/4548283888_00.g_0-w-st_g.jpg,jacket
979897227,http://gd.image-qoo10.jp/ai/598/926/4106926598_03.g_0-w-st_g.jpg,jacket
979897228,http://gd.image-qoo10.jp/ai/825/841/4154841825_00.g_0-w-st_g.jpg,jacket
979919666,http://gd.image-qoo10.jp/ai/813/364/4107364813_00.g_0-w-st_g.jpg,jacket
980057295,http://gd.image-qoo10.jp/ai/911/549/4108549911_00.g_0-w-st_g.jpg,jacket
980179294,http://gd.image-qoo10.jp/ai/807/685/4109685807_00.g_0-w-st_g.jpg,jacket
980725437,http://gd.image-qoo10.jp/ai/404/688/4122688404_00.g_0-w-st_g.jpg,jacket
980929485,http://gd.image-qoo10.jp/ai/484/045/4318045484_00.g_0-w-st_g.jpg,jacket
980943232,http://gd.image-qoo10.jp/ai/923/490/4116490923_00.g_0-w-st_g.jpg,jacket
980971298,http://gd.image-qoo10.jp/ai/601/333/4063333601_00.g_0-w-st_g.jpg,jacket
982176426,http://gd.image-qoo10.jp/ai/440/768/4147768440_00.g_0-w-st_g.jpg,jacket
982882041,http://gd.image-qoo10.jp/ai/526/398/4155398526_00.g_0-w-st_g.jpg,jacket
983126126,http://gd.image-qoo10.jp/ai/468/042/4159042468_00.g_0-w-st_g.jpg,jacket
985312553,http://gd.image-qoo10.jp/ai/492/987/4189987492_00.g_0-w-st_g.jpg,jacket
985745069,http://gd.image-qoo10.jp/ai/077/276/4352276077_00.g_0-w-st_g.jpg,jacket
985748751,http://gd.image-qoo10.jp/ai/801/236/4347236801_00.g_0-w-st_g.jpg,jacket
988880635,http://gd.image-qoo10.jp/ai/071/777/4262777071_00.g_0-w-st_g.jpg,jacket
1000677095,http://gd.image-qoo10.jp/ai/387/103/4403103387_00.g_0-w-st_g.jpg,jacket
1000765851,http://gd.image-qoo10.jp/ai/439/059/4404059439_00.g_0-w-st_g.jpg,jacket
1000903490,http://gd.image-qoo10.jp/ai/423/558/4839558423_00.g_0-w-st_g.jpg,jacket
1001093711,http://gd.image-qoo10.jp/ai/213/248/4407248213_00.g_0-w-st_g.jpg,jacket
1001204746,http://gd.image-qoo10.jp/ai/586/316/4408316586_00.g_0-w-st_g.jpg,jacket
1001685019,http://gd.image-qoo10.jp/ai/121/838/4413838121_00.g_0-w-st_g.jpg,jacket
1001963208,http://gd.image-qoo10.jp/ai/288/090/4418090288_00.g_0-w-st_g.jpg,jacket
1001965683,http://gd.image-qoo10.jp/ai/586/131/4418131586_00.g_0-w-st_g.jpg,jacket
1002127777,http://gd.image-qoo10.jp/ai/989/907/4420907989_00.g_0-w-st_g.jpg,jacket
981328251,http://gd.image-qoo10.jp/ai/999/025/4473025999_00.g_0-w-st_g.jpg,bag
981328254,http://gd.image-qoo10.jp/ai/618/053/4473053618_00.g_0-w-st_g.jpg,bag
981328265,http://gd.image-qoo10.jp/ai/134/715/4122715134_00.g_0-w-st_g.jpg,bag
981328267,http://gd.image-qoo10.jp/ai/148/715/4122715148_00.g_0-w-st_g.jpg,bag
981328291,http://gd.image-qoo10.jp/ai/030/109/4473109030_00.g_0-w-st_g.jpg,bag
981328311,http://gd.image-qoo10.jp/ai/350/715/4122715350_00.g_0-w-st_g.jpg,bag
981328325,http://gd.image-qoo10.jp/ai/433/715/4122715433_00.g_0-w-st_g.jpg,bag
981328338,http://gd.image-qoo10.jp/ai/528/715/4122715528_00.g_0-w-st_g.jpg,bag
985359980,http://gd.image-qoo10.jp/ai/540/900/4190900540_00.g_0-w-st_g.jpg,bag
988064593,http://gd.image-qoo10.jp/ai/363/260/4251260363_00.g_0-w-st_g.jpg,bag
988064594,http://gd.image-qoo10.jp/ai/370/260/4251260370_00.g_0-w-st_g.jpg,bag
988064595,http://gd.image-qoo10.jp/ai/377/260/4251260377_00.g_0-w-st_g.jpg,bag
988064596,http://gd.image-qoo10.jp/ai/384/260/4251260384_00.g_0-w-st_g.jpg,bag
988064608,http://gd.image-qoo10.jp/ai/446/260/4251260446_00.g_0-w-st_g.jpg,bag
988064639,http://gd.image-qoo10.jp/ai/608/260/4251260608_00.g_0-w-st_g.jpg,bag
988064640,http://gd.image-qoo10.jp/ai/617/260/4251260617_00.g_0-w-st_g.jpg,bag
